WKT,roadID,oneway,layer,crossedRoads,length
"MULTILINESTRING ((25.150376 54.654869,25.151280 54.654473,25.151401 54.654420))",1339,F,1;0,1743;1471,123
"MULTILINESTRING ((25.151401 54.654420,25.152921 54.653784))",1767,F,0,,181
"MULTILINESTRING ((25.152921 54.653784,25.153071 54.653608,25.153080 54.653516,25.153040 54.653461,25.152901 54.653384))",1487,F,0,,58
"MULTILINESTRING ((25.152190 54.653366,25.152591 54.653354,25.152901 54.653384))",1485,B,0,,79
"MULTILINESTRING ((25.151401 54.654420,25.151967 54.654118,25.152074 54.654030,25.152121 54.653966,25.152136 54.653892,25.152132 54.653808,25.152109 54.653715,25.152044 54.653633,25.151968 54.653570,25.151828 54.653507,25.151729 54.653473))",743,F,0,,169
"MULTILINESTRING ((25.152190 54.653366,25.152035 54.653397,25.151916 54.653430,25.151824 54.653457,25.151729 54.653473))",1488,F,0,,52
"MULTILINESTRING ((25.150592 54.653128,25.150660 54.653303,25.150732 54.653365,25.150830 54.653382,25.150885 54.653392,25.151822 54.653364,25.152190 54.653366))",1148,F,0,,192
"MULTILINESTRING ((25.150592 54.653128,25.150599 54.653626,25.150616 54.653795,25.150663 54.653971))",513,F,0,,86
"MULTILINESTRING ((25.152921 54.653784,25.153995 54.653337))",1768,F,0,,128
"MULTILINESTRING ((25.152901 54.653384,25.153152 54.653468,25.153289 54.653496,25.153404 54.653498,25.153995 54.653337))",1714,F,0,,125
"MULTILINESTRING ((25.151729 54.653473,25.151551 54.653444,25.151433 54.653439,25.151265 54.653452,25.151142 54.653479,25.150997 54.653526,25.150859 54.653597,25.150783 54.653660,25.150723 54.653763,25.150663 54.653971))",744,F,0,,144
"MULTILINESTRING ((25.150663 54.653971,25.150729 54.654162,25.150843 54.654394,25.151003 54.654708,25.151233 54.655028,25.151418 54.655246))",1743,F,0,1367;1339,155
"MULTILINESTRING ((25.151548 54.654533,25.151362 54.654606,25.150457 54.654999,25.149946 54.655212))",1367,F,0;1,1471;1743,191
"MULTILINESTRING ((25.149946 54.655212,25.149674 54.655444,25.149580 54.655534,25.149522 54.655610,25.149488 54.655680,25.149472 54.655756,25.149472 54.655824,25.149482 54.655889,25.149506 54.655950,25.149549 54.656012,25.149619 54.656080,25.149708 54.656147,25.149805 54.656202,25.149915 54.656247,25.150030 54.656283,25.150148 54.656305,25.150264 54.656319,25.150400 54.656324,25.150510 54.656317,25.150632 54.656304,25.150752 54.656279,25.150860 54.656250,25.150963 54.656212,25.151051 54.656166,25.151132 54.656109,25.151208 54.656046,25.151259 54.655974,25.151312 54.655852,25.151325 54.655759,25.151289 54.655485))",1149,F,0,,364
"MULTILINESTRING ((25.149946 54.655212,25.148439 54.655856,25.147503 54.656214,25.144397 54.657298))",1463,F,0,,652
"MULTILINESTRING ((25.154861 54.657428,25.153493 54.657035,25.153055 54.656917,25.152907 54.656880,25.152122 54.656715,25.151708 54.656648,25.151346 54.656602,25.150896 54.656555,25.150493 54.656524,25.150113 54.656497,25.149732 54.656486,25.148943 54.656504,25.148615 54.656520,25.148359 54.656537,25.147970 54.656572,25.147649 54.656607,25.147207 54.656668,25.146868 54.656721,25.146518 54.656783,25.146144 54.656865,25.145536 54.657008,25.144579 54.657242,25.144397 54.657298))",32,F,0,,1181
"MULTILINESTRING ((25.154861 54.657428,25.153835 54.657061,25.153438 54.656891,25.153075 54.656714,25.152696 54.656514,25.152344 54.656307,25.152044 54.656105,25.151762 54.655895,25.151289 54.655485))",1740,F,0,,446
"MULTILINESTRING ((25.151289 54.655485,25.151082 54.655265,25.150895 54.655018,25.150746 54.654802,25.150610 54.654514))",1471,F,0,1339;1367,124
"MULTILINESTRING ((25.154415 54.653317,25.151548 54.654533))",1155,F,0,,342
"MULTILINESTRING ((25.154415 54.653317,25.154085 54.653608,25.153994 54.653707,25.153930 54.653792,25.153851 54.653938,25.153793 54.654105,25.153398 54.655629,25.153312 54.656071,25.153364 54.656279,25.153509 54.656498,25.153954 54.656888))",1147,F,0,,425
"MULTILINESTRING ((25.151418 54.655246,25.151654 54.655507,25.152016 54.655822,25.152595 54.656221,25.152902 54.656407,25.153270 54.656598,25.153954 54.656888))",1115,F,0,,330
