WKT,roadID,oneway,layer,crossedRoads,length
"MULTILINESTRING ((25.151418 54.655246,25.151645 54.655372,25.151797 54.655445,25.151911 54.655482,25.152057 54.655510,25.152169 54.655523,25.152280 54.655530,25.152401 54.655531,25.152525 54.655523,25.152636 54.655507,25.152732 54.655485,25.152851 54.655449,25.152966 54.655394,25.153093 54.655312,25.153162 54.655251,25.153221 54.655173,25.153266 54.655076,25.153287 54.654982,25.153277 54.654891,25.153252 54.654812,25.153192 54.654716,25.153114 54.654643,25.153049 54.654595,25.152954 54.654544,25.152855 54.654505,25.152727 54.654465,25.152609 54.654438,25.152479 54.654417,25.152355 54.654408,25.152227 54.654411,25.152067 54.654428,25.151931 54.654454,25.151548 54.654533))",1150,F,0,,457
"MULTILINESTRING ((25.149095 54.654365,25.149099 54.654506,25.149133 54.654588,25.149173 54.654661,25.149256 54.654728,25.149351 54.654787,25.149496 54.654857,25.149633 54.654902,25.149820 54.654922,25.149958 54.654919,25.150376 54.654869))",1834,F,0,,172
"MULTILINESTRING ((25.149679 54.654060,25.149498 54.654088,25.149399 54.654113,25.149297 54.654154,25.149210 54.654210,25.149146 54.654279,25.149095 54.654365))",1836,F,0,,75
"MULTILINESTRING ((25.149679 54.654060,25.149583 54.654049,25.149467 54.654046))",1338,F,0,,24
"MULTILINESTRING ((25.148391 54.655712,25.150376 54.654869))",1462,F,0,,236
"MULTILINESTRING ((25.148391 54.655712,25.148701 54.655429,25.148851 54.655263,25.148927 54.655113,25.148959 54.654917,25.148920 54.654685,25.148832 54.654292))",1145,F,0,,170
"MULTILINESTRING ((25.148832 54.654292,25.148834 54.654213,25.148856 54.654170,25.148907 54.654138))",1146,F,0,,19
"MULTILINESTRING ((25.148907 54.654138,25.148971 54.654183,25.149026 54.654237,25.149064 54.654296,25.149095 54.654365))",578,F,0,,32
"MULTILINESTRING ((25.148907 54.654138,25.149012 54.654077))",1456,F,0,,13
"MULTILINESTRING ((25.148832 54.654292,25.148816 54.654242,25.148794 54.654202,25.148743 54.654165,25.148659 54.654136,25.148480 54.654115))",27,F,0,,47
"MULTILINESTRING ((25.148785 54.654094,25.148854 54.654116,25.148907 54.654138))",1457,F,0,,14
"MULTILINESTRING ((25.149012 54.654077,25.148785 54.654094))",1341,B,0,,25
"MULTILINESTRING ((25.149467 54.654046,25.149012 54.654077))",1812,B,0,,51
"MULTILINESTRING ((25.149467 54.654046,25.149709 54.654008,25.149846 54.653983,25.149978 54.653952,25.150103 54.653905,25.150194 54.653855,25.150244 54.653802,25.150281 54.653744,25.150320 54.653650,25.150346 54.653553,25.150411 54.653452))",1340,F,0,,131
"MULTILINESTRING ((25.150610 54.654514,25.150516 54.654257,25.150443 54.654001,25.150412 54.653730,25.150411 54.653452))",1470,F,0,,110
"MULTILINESTRING ((25.148785 54.654094,25.148480 54.654115))",1342,B,0,,34
"MULTILINESTRING ((25.150610 54.654514,25.150433 54.654313,25.150237 54.654164,25.150141 54.654119,25.150028 54.654084,25.149921 54.654064,25.149797 54.654056,25.149679 54.654060))",1835,F,0,,118
