WKT,roadID,oneway,layer,crossedRoads,length
"MULTILINESTRING ((25.270338 54.713228,25.270202 54.712655))",171,F,0,1103;1102,60
"MULTILINESTRING ((25.269683 54.712974,25.269430 54.713043,25.269283 54.713097,25.269212 54.713149,25.269158 54.713217,25.269125 54.713290,25.269116 54.713368,25.269132 54.713439,25.269180 54.713507,25.269263 54.713570,25.269358 54.713619,25.269480 54.713658,25.269602 54.713681,25.269721 54.713683,25.269864 54.713666,25.269983 54.713639,25.270088 54.713593,25.270168 54.713541,25.270237 54.713466,25.270285 54.713378,25.270338 54.713228))",751,F,0,,251
"MULTILINESTRING ((25.271138 54.712949,25.269873 54.712971,25.269683 54.712974))",1102,F,1;0,171;1508,162
"MULTILINESTRING ((25.272775 54.712930,25.271138 54.712949))",120,F,0,,182
"MULTILINESTRING ((25.272775 54.712930,25.272283 54.712981,25.272018 54.713029,25.271816 54.713086,25.271607 54.713166,25.271419 54.713267,25.271229 54.713408,25.271089 54.713536,25.271014 54.713624,25.270942 54.713726,25.270907 54.713801,25.270867 54.713945,25.270837 54.714252))",756,F,0,,281
"MULTILINESTRING ((25.270639 54.713129,25.270743 54.713710,25.270837 54.714252))",166,F,0,,115
"MULTILINESTRING ((25.270639 54.713129,25.270749 54.713253,25.270814 54.713306,25.270857 54.713324,25.270879 54.713334,25.270968 54.713348,25.271068 54.713348,25.271159 54.713331,25.271232 54.713296,25.271333 54.713226,25.271369 54.713177,25.271375 54.713125,25.271357 54.713077,25.271308 54.713026,25.271250 54.712992,25.271138 54.712949))",753,F,0,,132
"MULTILINESTRING ((25.270504 54.712507,25.270639 54.713129))",1508,F,0,1102;1103,64
"MULTILINESTRING ((25.269821 54.712780,25.270982 54.712760,25.271132 54.712757))",1103,F,1;0,1508;171,146
"MULTILINESTRING ((25.271132 54.712757,25.271231 54.712733,25.271380 54.712665,25.271472 54.712604,25.271521 54.712550,25.271547 54.712498,25.271554 54.712439,25.271544 54.712382,25.271522 54.712328,25.271494 54.712280,25.271429 54.712235,25.271368 54.712200,25.271287 54.712173,25.271184 54.712154,25.271078 54.712147,25.270980 54.712152,25.270871 54.712168,25.270770 54.712197,25.270712 54.712220,25.270664 54.712251,25.270605 54.712303,25.270580 54.712337,25.270533 54.712417,25.270504 54.712507))",752,F,0,,207
"MULTILINESTRING ((25.271132 54.712757,25.273096 54.712747,25.274057 54.712749,25.275143 54.712789))",1017,F,0,,446
"MULTILINESTRING ((25.269970 54.711057,25.270100 54.711212,25.270310 54.711440,25.270523 54.711622,25.270728 54.711754,25.270973 54.711889,25.271211 54.712007,25.271523 54.712141,25.271667 54.712199,25.271745 54.712231,25.271941 54.712307,25.272210 54.712396,25.272474 54.712467,25.272880 54.712551,25.273150 54.712591,25.273773 54.712649,25.275143 54.712789))",621,F,0,,617
"MULTILINESTRING ((25.269970 54.711057,25.270171 54.711555,25.270504 54.712507))",848,F,0,,158
"MULTILINESTRING ((25.270202 54.712655,25.270148 54.712426,25.270036 54.712084,25.269792 54.711463,25.269707 54.711275,25.269583 54.711045))",1509,F,0,,177
"MULTILINESTRING ((25.267592 54.712832,25.267922 54.712772,25.268202 54.712696,25.268487 54.712623,25.268719 54.712529,25.268956 54.712400,25.269170 54.712234,25.269282 54.712136,25.269400 54.712012,25.269531 54.711812,25.269587 54.711681,25.269611 54.711511,25.269600 54.711304,25.269583 54.711045))",750,F,0,,325
"MULTILINESTRING ((25.267592 54.712832,25.269821 54.712780))",144,F,0,,248
"MULTILINESTRING ((25.270202 54.712655,25.270050 54.712447,25.269910 54.712276,25.269879 54.712246,25.269843 54.712224,25.269792 54.712201,25.269741 54.712183,25.269691 54.712172,25.269636 54.712169,25.269588 54.712168,25.269544 54.712172,25.269496 54.712180,25.269445 54.712193,25.269404 54.712210,25.269321 54.712264,25.269126 54.712420,25.269094 54.712454,25.269084 54.712477,25.269079 54.712506,25.269081 54.712540,25.269089 54.712571,25.269120 54.712613,25.269167 54.712654,25.269234 54.712681,25.269316 54.712700,25.269473 54.712725,25.269821 54.712780))",1552,F,0,,250
"MULTILINESTRING ((25.270621 54.715135,25.270338 54.713228))",629,F,0,,194
"MULTILINESTRING ((25.270621 54.715135,25.270437 54.714735,25.270305 54.714558,25.270049 54.714326,25.269619 54.714017,25.269496 54.713937,25.269205 54.713749,25.268533 54.713397,25.268098 54.713228,25.267701 54.713116,25.267177 54.713041))",754,F,0,,454
"MULTILINESTRING ((25.269683 54.712974,25.267177 54.713041))",758,F,0,,279
